what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404207933015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404207971843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404207972265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208103406
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208104296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208115890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208130156
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1404208130171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208131875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208135796
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1404208135812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208136453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208184453
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208184468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208190453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208204437
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1404208204468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208207156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208217546
executed,command,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui.applyPatch",1404208217562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208223328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208242593
executed,command,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui.applyPatch",1404208242625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208250812
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208252546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208254640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208309640
executed,command,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui.applyPatch",1404208309671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208311765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1404208326546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208329562
executed,command,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui.applyPatch",1404208329578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208332921
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1404208333390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208348875
executed,command,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui.applyPatch",1404208348906
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208353140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208355015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208357937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208362218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1404208362234
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208363546
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208366468
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1404208367156
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1404208369734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208370984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208373437
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1404208374687
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1404208398515
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1404208399718
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1404208399718
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208399734
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208399781
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1404208399828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208400765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208401953
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1404208402000
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1404208402078
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1404208402546
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1404208402578
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1404208402593
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1404208402609
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1404208402625
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1404208402640
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1404208402640
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1404208402656
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1404208402718
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1404208402734
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1404208402734
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1404208402781
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1404208402781
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1404208402812
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1404208402859
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1404208402859
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1404261403687
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1404261403687
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1404261403703
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1404261403718
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1404261403750
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1404261403781
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1404261403796
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1404261403812
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1404261403843
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1404261403875
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1404261403890
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1404261403953
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1404261403968
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1404261404000
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1404261404031
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1404261404078
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1404261404109
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1404261404140
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1404261404156
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1404261404171
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1404261404187
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1404261404203
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1404261404234
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1404261404250
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1404261404312
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1404261404406
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1404261404437
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1404261404453
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1404261404578
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1404261404671
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1404261404687
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1404261404718
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1404261404734
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1404261404750
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1404261404796
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1404261404812
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1404261404843
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1404261404906
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1404261404906
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1404261404968
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1404261405015
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1404261405031
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1404261405234
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1404261405234
